OriginalIndex,Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar,IntensityDiff,SigmaValue,AlphaValue,ReferenceColor,ControlColor
3095,AT3G17100,p03-r01-c24,bHLH,AIF3,Nucleus,"Nucleus, nucleolus; Chromosome",-147.49999999999994,-2.9590519638393844,0.007613147442929523,redish,whiteish
3527,AT5G18090,p03-r10-c24,ABI3-VP1,AT5G18090,Nucleus,"Nucleus, nucleolus; Chromosome",-136.29166666666663,-2.734197450203002,0.010463248580189186,redish,whiteish
3133,AT2G30424,p03-r02-c14,MYB-related,TCL2,Nucleus,"Nucleus, nucleolus; Chromosome",125.04390435968156,2.5085519373671867,0.9856035747867928,whiteish,redish
3713,AT1G22590,p03-r14-c18,MADS,AGL87,Nucleus,"Nucleus, nucleolus; Chromosome",-121.25000000000001,-2.432441021122207,0.01603248564510916,redish,whiteish
3168,AT5G43250,p03-r03-c01,CCAAT,NF-YC13,Nucleus,Chromosome,119.0467032967033,2.3882398723980645,0.9829333395234241,whiteish,redish
3716,AT3G45170,p03-r14-c21,C2C2-GATA,GATA14,Nucleus,Chromosome,118.92061170212766,2.3857103023604194,0.9828721767318985,whiteish,redish
3612,AT4G34290,p03-r12-c13,SWI/SNF-BAF60b,AT4G34290,Mitochondrion,Mitochondrion inner membrane,-117.76666666666667,-2.3625605849140223,0.0176978449390065,redish,whiteish
3087,AT4G21080,p03-r01-c16,C2C2-DOF,DOF4.5,Nucleus,Chromosome,114.01905438311688,2.287378351101503,0.9803167777189213,whiteish,redish
3183,AT2G17770,p03-r03-c16,bZIP,FDP,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome",113.52937508259548,2.2775547138414396,0.9800414158687164,whiteish,redish
3073,AT3G22560,p03-r01-c02,GNAT,AT3G22560,Mitochondrion,Mitochondrion matrix,113.34714673913044,2.273898963756033,0.9799379625652563,whiteish,redish
3329,AT1G32540,p03-r06-c18,zf-LSD1,LOL1,Nucleus,Chromosome,-112.33333333333331,-2.2535604786754186,0.020647459926311167,redish,whiteish
3654,AT5G25475,p03-r13-c07,ABI3-VP1,AT5G25475,Mitochondrion,Mitochondrion matrix,-112.27083333333334,-2.252306643097521,0.020684104301332787,redish,whiteish
3800,AT4G25380,p03-r16-c09,zf-AN1,AtSAP10,Cytoplasm,"Cytoplasm, cytoskeleton",111.64345167969411,2.239720508085467,0.9789444332265405,whiteish,redish
3078,AT5G23420,p03-r01-c07,HMG,HMGB6,Nucleus,"Nucleus, nucleolus; Chromosome",-111.16666666666667,-2.230155547887989,0.021342318301294544,redish,whiteish
3326,AT1G66550,p03-r06-c15,WRKY,ATWRKY67,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome",109.92241379310343,2.205194131555581,0.9778908256816176,whiteish,redish
3504,AT4G00416,p03-r10-c01,ND,MBD3,Nucleus,Chromosome,109.61555944055942,2.1990382130843407,0.9776975077279082,whiteish,redish
3324,AT1G60240,p03-r06-c13,ND,AT1G60240,Nucleus,"Nucleus, nucleolus",109.25374396135265,2.1917796991569216,0.9774673916028213,whiteish,redish
3511,AT1G10720,p03-r10-c08,BSD,AT1G10720,Nucleus,Chromosome,108.19387351778656,2.17051724683523,0.9767795543037665,whiteish,redish
3373,AT3G59470,p03-r07-c14,FAR1,FRF1,Nucleus,"Nucleus, nucleolus; Chromosome",-107.75,-2.161612536296229,0.023514713532593625,redish,whiteish
3709,AT5G48670,p03-r14-c14,MADS,FEM111,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome",-106.625,-2.139043495894064,0.024277349007443844,redish,whiteish
3715,AT4G38170,p03-r14-c20,ND,FRS9,Nucleus,Chromosome,-106.15,-2.1295143455020393,0.024606731156183698,redish,whiteish
3072,AT3G22560,p03-r01-c01,GNAT,AT3G22560,Mitochondrion,Mitochondrion matrix,105.45149572649574,2.1155013933511033,0.9749007657745559,whiteish,redish
3697,AT1G65300,p03-r14-c02,MADS,PHE2,Nucleus,"Nucleus, nucleolus; Chromosome",104.89732142857143,2.1043838981335967,0.9745030241951755,whiteish,redish
3426,AT5G01860,p03-r08-c19,C2H2,AT5G01860,Nucleus,Chromosome,104.52206260720412,2.09685569235519,0.9742301207246944,whiteish,redish
3094,AT3G17100,p03-r01-c23,bHLH,AIF3,Nucleus,"Nucleus, nucleolus; Chromosome",101.15353260869566,2.029278368237642,0.9716458016762686,whiteish,redish
3322,AT1G64000,p03-r06-c11,WRKY,WRKY56,Nucleus,"Nucleus, nucleolus; Chromosome",100.58205049261085,2.0178136544891685,0.9711823322698766,whiteish,redish
