Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar
AT1G68150,p01-r01-c01,WRKY,ATWRKY9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G47760,p01-r01-c02,MADS,AGL102,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G55600,p01-r01-c03,WRKY,MINI3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G14020,p01-r01-c04,CCAAT,NF-YA6,Nucleus,Chromosome
AT4G18470,p01-r01-c05,ND,SNI1,Nucleus,Chromosome
AT5G60890,p01-r01-c06,MYB,ATR1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G06500,p01-r01-c07,MADS,AGL96,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G02310,p01-r01-c08,MADS,AGL4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G24430,p01-r01-c09,NAC,ANAC039,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G42830,p01-r01-c10,MADS,AGL5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G26650,p01-r01-c11,MADS,AGL36,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G65360,p01-r01-c12,MADS,AGL23,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G60920,p01-r01-c13,MADS,AGL55,Nucleus,Chromosome
AT3G30260,p01-r01-c14,MADS,AGL79,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G60880,p01-r01-c15,MADS,AGL56,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G34440,p01-r01-c16,MADS,AGL29,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G24050,p01-r01-c17,C2C2-GATA,GATA1,Nucleus,Chromosome
AT5G27910,p01-r01-c18,CCAAT,NF-YC8,Nucleus,Chromosome
AT2G37430,p01-r01-c19,C2H2,ZAT11,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G30530,p01-r01-c20,bZIP,ATBZIP42,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G04340,p01-r01-c21,C2H2,AtZAT6,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G38800,p01-r01-c22,bZIP,AtbZIP43,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT4G25470,p01-r01-c23,AP2-EREBP,DREB1C,Nucleus,Chromosome
AT3G12250,p01-r01-c24,bZIP,BZIP45,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G48250,p01-r02-c01,C2C2-CO-like,BBX8,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G15030,p01-r02-c02,TCP,MEE35,Nucleus,Chromosome
AT4G09450,p01-r02-c03,MYB-related,AT4G09450,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G47460,p01-r02-c04,MYB,PFG1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G72450,p01-r02-c05,ZIM,TIFY11B,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G44160,p01-r02-c06,C2H2,AtIDD8,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G42680,p01-r02-c07,MBF1,MBF1A,Nucleus,"Nucleus, nucleolus"
AT2G33480,p01-r02-c08,NAC,ANAC041,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G01250,p01-r02-c09,WRKY,AtWRKY22,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G12720,p01-r02-c10,MYB,MYB67,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G36990,p01-r02-c11,SIGMA70-like,SOLDAT8,Plastid,"Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
AT4G31800,p01-r02-c12,WRKY,WRKY18,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G47210,p01-r02-c13,MYB-related,ATSWC4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G25900,p01-r02-c14,C3H,ATTZF1,Nucleus,Nucleus speckle; Chromosome
AT2G25650,p01-r02-c15,GeBP,GPL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G23240,p01-r02-c16,AP2-EREBP,ERF1B,Nucleus,Chromosome
AT1G25560,p01-r02-c17,AP2-EREBP,EDF1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT3G47620,p01-r02-c18,TCP,AtTCP14,Nucleus,Chromosome
AT3G07670,p01-r02-c19,SET,AT3G07670,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
AT3G04420,p01-r02-c20,NAC,ANAC048,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G04950,p01-r02-c21,ND,ATTAF6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G13810,p01-r02-c22,C2H2,AtIDD11,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G72010,p01-r02-c23,TCP,TCP22,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G09790,p01-r02-c24,PHD,PDE336,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G42910,p01-r03-c01,bZIP,AT5G42910,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G04038,p01-r03-c02,bZIP,AtbZIP48,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT4G14550,p01-r03-c03,AUX-IAA,IAA14,Nucleus,Chromosome
AT3G17609,p01-r03-c04,bZIP,HYH,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G46990,p01-r03-c05,AUX-IAA,IAA20,Nucleus,Chromosome
AT5G06839,p01-r03-c06,bZIP,bZIP65,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G11880,p01-r03-c07,MADS,AGL14,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G48000,p01-r03-c08,MYB,MYB112,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G57230,p01-r03-c09,MADS,AGL16,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G25340,p01-r03-c10,MYB,AtMYB116,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G22630,p01-r03-c11,MADS,AGL17,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G27785,p01-r03-c12,MYB,MYB118,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G10140,p01-r03-c13,MADS,FLC,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G30210,p01-r03-c14,MYB,MYB121,Nucleus,Chromosome
AT5G65050,p01-r03-c15,MADS,MAF2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G35550,p01-r03-c16,MYB,TT2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G23260,p01-r03-c17,MADS,TT16,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G02320,p01-r03-c18,MYB,ATMYB3R5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G62165,p01-r03-c19,MADS,AGL42,Nucleus,Chromosome
AT5G62320,p01-r03-c20,MYB,ATMYB99,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G40220,p01-r03-c21,MADS,AGL43,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G36890,p01-r03-c22,MYB,RAX2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT5G39750,p01-r03-c23,MADS,EMB3008,Nucleus,Chromosome
AT4G25560,p01-r03-c24,MYB,AtMYB18,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G67300,p01-r04-c01,MYB,MYBR1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G06960,p01-r04-c02,bZIP,OBF5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G30080,p01-r04-c03,ARF,ARF16,Nucleus,Chromosome
AT4G13980,p01-r04-c04,HSF,AT-HSFA5,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT5G08520,p01-r04-c05,MYB,AT5G08520,Nucleus,Chromosome
AT3G17860,p01-r04-c06,ZIM,JAZ3,Nucleus,Chromosome
AT3G14180,p01-r04-c07,TRIHELIX,ASIL2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G28140,p01-r04-c08,AP2-EREBP,AT4G28140,Nucleus,Chromosome
AT1G42990,p01-r04-c09,bZIP,ATBZIP60,Nucleus,"Nucleus, nucleolus"
AT3G50060,p01-r04-c10,MYB,MYB77,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G10240,p01-r04-c11,Orphans,bbx23,Nucleus,Chromosome
AT2G39900,p01-r04-c12,LIM,WLIM2a,Cytoplasm,"Cytoplasm, cytoskeleton"
AT2G46270,p01-r04-c13,bZIP,GBF3,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
