"Identifier","Coordinate","Family","Common_Name","SubCellular","SubOrganellar"
"AT1G68150","p01-r01-c01","WRKY","ATWRKY9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G68150","p01-r01-c02","WRKY","ATWRKY9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G47760","p01-r01-c03","MADS","AGL102","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G47760","p01-r01-c04","MADS","AGL102","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G55600","p01-r01-c05","WRKY","MINI3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G55600","p01-r01-c06","WRKY","MINI3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G14020","p01-r01-c07","CCAAT","NF-YA6","Nucleus","Chromosome"
"AT3G14020","p01-r01-c08","CCAAT","NF-YA6","Nucleus","Chromosome"
"AT4G18470","p01-r01-c09","ND","SNI1","Nucleus","Chromosome"
"AT4G18470","p01-r01-c10","ND","SNI1","Nucleus","Chromosome"
"AT5G60890","p01-r01-c11","MYB","ATR1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G60890","p01-r01-c12","MYB","ATR1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G06500","p01-r01-c13","MADS","AGL96","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G06500","p01-r01-c14","MADS","AGL96","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G02310","p01-r01-c15","MADS","AGL4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G02310","p01-r01-c16","MADS","AGL4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24430","p01-r01-c17","NAC","ANAC039","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G24430","p01-r01-c18","NAC","ANAC039","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G42830","p01-r01-c19","MADS","AGL5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G42830","p01-r01-c20","MADS","AGL5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G26650","p01-r01-c21","MADS","AGL36","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G26650","p01-r01-c22","MADS","AGL36","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G65360","p01-r01-c23","MADS","AGL23","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G65360","p01-r01-c24","MADS","AGL23","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G60920","p01-r01-c25","MADS","AGL55","Nucleus","Chromosome"
"AT1G60920","p01-r01-c26","MADS","AGL55","Nucleus","Chromosome"
"AT3G30260","p01-r01-c27","MADS","AGL79","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G30260","p01-r01-c28","MADS","AGL79","Nucleus","Nucleus, nucleolus; Chromosome"
